Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
San Jose de Maipo                                                                                                                                                                                                                                             , 309,    0.0000,    0.0000,   0,       0.0000000000, 7.02146813273e-002,-6.11590687186e-003, 2.78866634369e+001, 9.45300197601e+000, 1.45884007215e-001, 5.17173483968e-002,    0.0076,    0.9107,    0.0056,    0.0505,    0.0080,    0.0000,    0.0014,    0.0093, 3.98e+005, 6.27e+006,-7.01e+001,-3.37e+001
Pirque                                                                                                                                                                                                                                                        , 310,    0.0000,    0.0000,   0,       0.0000000000, 2.32650503516e-001, 2.30202943087e-001, 3.23216781616e+001, 2.47051048279e+001, 4.59569245577e-001, 5.11420130730e-001,    0.0002,    0.9231,    0.0132,    0.0534,    0.0055,    0.0000,    0.0008,    0.0016, 3.60e+005, 6.27e+006,-7.05e+001,-3.37e+001
Paine                                                                                                                                                                                                                                                         , 311,    0.1999,    0.1000,   1,       0.0000000000, 2.86081522703e-001, 2.83763259649e-001, 3.21567878723e+001, 2.56494750977e+001, 5.41299521923e-001, 5.90438187122e-001,    0.0177,    0.9115,    0.0122,    0.0468,    0.0041,    0.0000,    0.0013,    0.0032, 3.37e+005, 6.25e+006,-7.08e+001,-3.39e+001
Buin                                                                                                                                                                                                                                                          , 312,    0.0000,    0.0000,   0,       0.0000000000, 2.98270910978e-001, 2.57137805223e-001, 3.43459205627e+001, 3.02304153442e+001, 5.00659286976e-001, 4.79538798332e-001,    0.0025,    0.8964,    0.0176,    0.0731,    0.0025,    0.0000,    0.0002,    0.0033, 3.39e+005, 6.26e+006,-7.07e+001,-3.37e+001
Alhue                                                                                                                                                                                                                                                         , 313,    0.0000,    0.0000,   0,       0.0000000000, 2.59253710508e-001, 2.75745064020e-001, 3.18326644897e+001, 2.20729408264e+001, 5.34309208393e-001, 6.12714290619e-001,    0.0000,    0.8858,    0.0085,    0.0810,    0.0099,    0.0000,    0.0007,    0.0092, 3.10e+005, 6.23e+006,-7.11e+001,-3.40e+001
Melipilla                                                                                                                                                                                                                                                     , 314,    0.2115,    0.2000,   0,       0.0000000000, 2.96989142895e-001, 3.37664842606e-001, 3.38013496399e+001, 2.58626861572e+001, 5.23102819920e-001, 6.26473307610e-001,    0.0540,    0.8894,    0.0077,    0.0393,    0.0041,    0.0000,    0.0005,    0.0023, 2.97e+005, 6.26e+006,-7.12e+001,-3.37e+001
San Pedro                                                                                                                                                                                                                                                     , 315,    0.0000,    0.0000,   0,       0.0000000000, 2.48653873801e-001, 3.58585268259e-001, 3.78545951843e+001, 2.60262565613e+001, 4.36229199171e-001, 6.35457515717e-001,    0.0000,    0.8954,    0.0120,    0.0735,    0.0136,    0.0000,    0.0004,    0.0032, 2.73e+005, 6.24e+006,-7.15e+001,-3.39e+001
Maria Pinto                                                                                                                                                                                                                                                   , 316,    0.0000,    0.0000,   0,       0.0000000000, 3.00548195839e-001, 3.44364434481e-001, 3.45537757874e+001, 2.59270496368e+001, 5.19595980644e-001, 6.30840063095e-001,    0.0006,    0.8973,    0.0055,    0.0876,    0.0061,    0.0000,    0.0003,    0.0019, 2.95e+005, 6.29e+006,-7.12e+001,-3.35e+001
Curacavi                                                                                                                                                                                                                                                      , 317,    0.0000,    0.0000,   0,       0.0000000000, 2.42812544107e-001, 2.85178333521e-001, 3.36437797546e+001, 2.47188873291e+001, 4.76664841175e-001, 6.08888566494e-001,    0.0013,    0.8992,    0.0085,    0.0757,    0.0069,    0.0000,    0.0012,    0.0031, 3.06e+005, 6.31e+006,-7.11e+001,-3.34e+001
Penaflor                                                                                                                                                                                                                                                      , 318,    0.3002,    0.2000,   0,       0.0000000000, 2.99843430519e-001, 3.18144977093e-001, 3.48820343018e+001, 2.79060134888e+001, 5.11384427547e-001, 5.74610650539e-001,    0.1283,    0.8251,    0.0094,    0.0282,    0.0014,    0.0000,    0.0002,    0.0024, 3.24e+005, 6.28e+006,-7.09e+001,-3.36e+001
